misc/nupdates,misc/total_timesteps,fps,eprewmean,loss/policy_entropy,loss/policy_loss,loss/value_loss
2060,989280,300,13.27345615,1.3771061062812806,-0.004739285632967949,2.0024610221385957
2080,998880,300,10.936479370000002,1.3772801637649537,-0.001237316057085991,2.781928825378418
2100,1008480,300,11.48490711,1.3768667578697205,-0.002231781929731369,3.2679991364479064
2120,1018080,299,14.549929319999999,1.376610267162323,-0.011688821483403444,4.29694265127182
2140,1027680,299,10.914415510000001,1.3774227261543275,0.002880282374098897,2.3326766908168795
2160,1037280,299,14.702508479999999,1.3786020517349242,0.002480721287429333,2.9016257494688036
2180,1046880,299,14.129012100000002,1.378336787223816,0.010363132134079934,5.700804114341736
2200,1056480,298,14.1258214,1.3786063194274902,-0.006967188417911529,7.145157414674759
2220,1066080,298,12.20551164,1.3780659317970276,-0.010040584951639175,14.522507774829865
2240,1075680,298,12.322130340000003,1.3778100490570069,-0.006600707862526178,0.9752493977546692
2260,1085280,298,10.064977789999999,1.376303231716156,-0.0025701830862089993,3.9374625742435456
2280,1094880,298,17.09514684,1.3765205144882202,-0.00374495810829103,17.616789054870605
2300,1104480,298,11.123160780000001,1.3764703154563904,-0.011277008056640624,0.8817750930786132
2320,1114080,298,11.178160439999997,1.375959539413452,-0.0030958679504692554,18.996212160587312
2340,1123680,297,14.738716950000002,1.3754083633422851,0.001924072951078415,24.821152544021608
2360,1133280,297,17.47621919,1.3756544589996338,-0.0024614537600427867,1.2031212836503982
2380,1142880,297,14.469727440000002,1.3758798241615295,-0.0018775075674057006,18.87134570479393
2400,1152480,297,17.29034151,1.3758221745491028,-0.004222346097230911,4.263304406404496
2420,1162080,297,17.893332510000004,1.3759472131729127,-0.003994774539023638,11.523267555236817
2440,1171680,297,15.334426540000003,1.376061999797821,-0.0035332756116986273,20.632214403152467
2460,1181280,297,6.9327983600000005,1.3759595990180968,-0.001836114446632564,21.09141836166382
2480,1190880,297,9.52107951,1.375939917564392,-0.005275540053844452,13.558158218860626
2500,1200480,297,13.69012379,1.3751882910728455,-0.0003296036273241043,18.21376304626465
2520,1210080,297,17.120623780000003,1.3762081503868102,-0.023383194208145143,0.6868944466114044
2540,1219680,297,20.74109313,1.377053451538086,-0.006825994607061148,13.709000658988952
2560,1229280,297,13.281561609999999,1.3769585490226746,-0.0036662496626377107,14.611041444540025
2580,1238880,297,15.847904420000003,1.3760432481765748,-0.0011929018422961236,33.07828960418701
2600,1248480,297,11.900450279999998,1.3749711155891418,0.00399506688117981,7.646863251924515
2620,1258080,297,17.73098401,1.3735061764717102,0.011894650477916002,3.4535075783729554
2640,1267680,297,15.442401960000002,1.3732244372367859,0.0032071465626358985,9.058579531311988
2660,1277280,297,11.923100220000002,1.372155749797821,-0.01084909327328205,5.265951156616211
2680,1286880,297,11.550529549999998,1.3713767886161805,-0.00799371236935258,2.5478165090084075
2700,1296480,296,14.112413019999998,1.372761034965515,0.0016147614864166827,1.1763474136590957
2720,1306080,296,6.553698069999999,1.373793601989746,0.0027927130460739134,13.654022383689881
2740,1315680,296,12.927457630000001,1.3736802339553833,-0.0030303068459033968,15.037300688028335
2760,1325280,296,14.199350039999999,1.3721583127975463,-0.004770508408546448,4.116268461942672
2780,1334880,296,16.36110379,1.3719687461853027,0.0010642049834132194,4.346231156587601
2800,1344480,295,12.009476289999998,1.3721795201301574,-0.0026304736733436585,6.056643939018249
2820,1354080,295,14.094899790000005,1.3718522429466247,0.002899456024169922,15.788943389058113
2840,1363680,295,15.73978902,1.3718734622001647,-0.0041579041979275646,1.4746604919433595
2860,1373280,295,13.499920950000003,1.371525490283966,-0.009820632776245475,6.665890380740166
2880,1382880,296,8.784472540000001,1.3734355330467225,-0.0030150502920150758,5.411869585514069
2900,1392480,296,5.84797176,1.3749754786491395,-0.0010123848915100098,12.048461250960827
2920,1402080,296,12.77010774,1.3746114492416381,-0.01046367958188057,4.393679246306419
2940,1411680,296,12.45894275,1.374188280105591,0.004388460516929626,4.871596169471741
2960,1421280,296,13.88198118,1.374442219734192,-0.004027925431728363,2.545743244886398
2980,1430880,296,16.03988157,1.3747830271720887,-0.00036837905645370483,14.180618143081665
